id	institution	display	n_candidates	best_kind	best_conf	best_host	best_url	last_error
nypl_computus_text_3	New York Public Library	NYPL Digital Collections, Computus Text 3	1	catalogue_or_other	medium	digitalcollections.nypl.org	https://digitalcollections.nypl.org/	
cambridge_sjc_a22	St John's College, Cambridge	Cambridge, St John's College, MS A.22 (Reading Computus)	8	archive_org	medium	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp89g00720r000700900004-1	
oxford_sjc_17	St John's College, Oxford	Oxford, St John's College, MS 17 (Thorney Computus)	9	archive_org	medium	archive.org	http://archive.org/details/TheByrhtferthsManuscriptms17SaintJohnsCollegeOxford	
clat_21	augsburg staats- und stadtbibliothek	Augsburg, Staats- und Stadtbibliothek, folio 8	8	archive_org	low	archive.org	https://archive.org/details/11198319bsb	
clat_593	baltimore walters art gallery	Baltimore, Walters Art Gallery, W 6	8	archive_org	low	archive.org	https://archive.org/details/MemoirsOfBabur	
clat_25	baltimore walters art gallery	Baltimore, Walters Art Gallery, W 73	4	archive_org	low	archive.org	https://archive.org/details/walterscollectio00walt_0	http_403
clat_655	bamberg staatsbibliothek	Bamberg, Staatsbibliothek, 1	8	archive_org	low	archive.org	https://archive.org/details/katalogderhandsc03staa	
clat_520	bamberg staatsbibliothek	Bamberg, Staatsbibliothek, 131	8	archive_org	low	archive.org	https://archive.org/details/11716234bsb	
clat_446	bamberg staatsbibliothek	Bamberg, Staatsbibliothek, 160	9	catalogue_or_other	medium	www.nbn-resolving.de	http://digital.bib-bvb.de/view/bvb_mets/viewer.0.6.5.jsp?folder_id=0&dvs=1786400678011~124&pid=4776613&locale=en&usePid1=true&usePid2=true	
clat_29	bamberg staatsbibliothek	Bamberg, Staatsbibliothek, 63	8	archive_org	low	archive.org	https://archive.org/details/engel_fragmente_fraenkischer_chroniken_text	
clat_683	barcelona archivo de la corona de aragón	Barcelona, Archivo de la Corona de Aragón, 59	8	archive_org	medium	archive.org	https://archive.org/details/coleccindedocum00araggoog	
clat_327	basel universitätsbibliothek	Basel, Universitätsbibliothek, F III 15k (F 3 15k)	1	catalogue_search	low	www.e-codices.unifr.ch	https://www.e-codices.unifr.ch/en/search/all?query=Basel%2C+Universit%C3%A4tsbibliothek%2C+F+III+15k+%28F+3+15k%29	
clat_331	basel universitätsbibliothek	Basel, Universitätsbibliothek, N I 2 no. 31	1	catalogue_search	low	www.e-codices.unifr.ch	https://www.e-codices.unifr.ch/en/search/all?query=Basel%2C+Universit%C3%A4tsbibliothek%2C+N+I+2+no.+31	
BERLIN_SBPK_PHILLIPPS_1831_COD	berlin staatsbibliothek - preußischer kulturbesitz	Berlin, Staatsbibliothek - Preußischer Kulturbesitz, Phillipps 1831	2	catalogue_or_other	medium	digital.staatsbibliothek-berlin.de	https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN797388990	
clat_37	berlin staatsbibliothek zu berlin - preußischer kulturbesitz	Berlin, Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, 1869	4	catalogue_or_other	medium	bibliotheca-laureshamensis-digital.de	https://bibliotheca-laureshamensis-digital.de/view/sbb-pk_msphillipps1869	
clat_39	bern burgerbibliothek	Bern, Burgerbibliothek, 129	1	catalogue_search	low	www.e-codices.unifr.ch	https://www.e-codices.unifr.ch/en/search/all?query=Bern%2C+Burgerbibliothek%2C+129	
